base	target	same_origin	tok_pd	tok_ag	emb_pd	emb_ag
Mistral-7B-v0.3	Llama-3.1-8B-Instruct-4bit	N	0.0012	-0.0203	0.5487	0.4565
Mistral-7B-v0.3	Llama-3.1-8B-Instruct-8bit	N	0.0003	-0.0312	0.5639	0.4702
Mistral-7B-v0.3	Llama-3.1-8B-Instruct-Abliterated	N	0.0027	-0.0176	0.6211	0.5191
Mistral-7B-v0.3	Llama-3.1-8B-Instruct-HalfAbliterated-TIES	N	0.0009	-0.0325	0.5961	0.4980
Mistral-7B-v0.3	Llama-3.1-8B-Instruct-Open-R1-Distill	N	0.0009	-0.0219	0.5607	0.4667
Mistral-7B-v0.3	Llama-3.1-8B-Instruct-PsyCourse-fold7	N	0.0000	-0.0330	0.5641	0.4701
Mistral-7B-v0.3	Llama-3.1-8B-Instruct-cv-job-description-matching	N	0.0006	-0.0324	0.5642	0.4701
Mistral-7B-v0.3	Llama-3.1-8B-TLDR	N	0.0004	-0.0398	0.5533	0.4619
Mistral-7B-v0.3	Mistral-7B-distilled-from-deepseek-r1-qwen32b	Y	0.5688	0.6272	0.9806	0.9751
Mistral-7B-v0.3	Mistral-7B-v0.3-Brain	Y	0.3226	0.3030	0.9867	0.9704
Mistral-7B-v0.3	Mistral-7B-v0.3-Instruct	Y	0.5157	0.5521	0.9878	0.9798
Mistral-7B-v0.3	Mistral-7B-v0.3-Instruct-GPTQ-4bit	Y	0.4327	0.5120	0.9419	0.9143
Mistral-7B-v0.3	Mistral-7B-v0.3-Instruct-demi-merge	Y	0.6813	0.7129	0.9922	0.9878
Mistral-7B-v0.3	Mistral-7B-v0.3-Spellcheck	Y	0.5280	0.5928	0.9879	0.9825
Mistral-7B-v0.3	coma-7B-v0.1	N	0.0040	0.0013	0.1592	0.0818
Mistral-7B-v0.3	llama-2-7b-logit-watermark-distill-kgw-k1-gamma0.25-delta2	N	0.0064	-0.0140	0.1856	0.1011
Mistral-7B-v0.3	llama2-Better-Tune	N	0.0075	-0.0274	0.2294	0.1581
Mistral-7B-v0.3	tulu-2-7b	N	0.0073	-0.0121	0.1983	0.1421
Gemma-2-2b	Gemma-2-2B-it-4Bit-GPTQ	Y	0.1989	0.2590	0.9407	0.9285
Gemma-2-2b	Gemma-2-2b-it	Y	0.2835	0.2725	0.9626	0.9472
Gemma-2-2b	Gemma-2-2b-it-distilled	Y	0.1133	0.0346	0.9541	0.9345
Gemma-2-2b	Gemma-2-2b-it-lora-sql	Y	0.2307	0.2485	0.9449	0.9282
Gemma-2-2b	Gemma-2-2b-merged	Y	0.2833	0.2723	0.9626	0.9471
Gemma-2-2b	Gemma-2-2b-neogenesis-ita	Y	0.1601	0.2000	0.9626	0.9477
Gemma-2-2b	Gemma-2-baku-2b	Y	0.2155	0.2671	0.9240	0.9113
Llama-2-7b	AQUA-7B	N	0.0023	-0.0158	0.1674	0.0271
Llama-2-7b	EYE-Llama_qa	Y	0.4755	0.1884	0.4722	0.3368
Llama-2-7b	Llama-2-7B-Chat-GPTQ	Y	0.2313	0.1553	0.5340	0.3835
Llama-2-7b	Llama-2-7b-chat	Y	0.5145	0.2796	0.6000	0.4528
Llama-2-7b	Llama-3.1-8B	N	-0.0014	0.0053	0.1472	0.0161
Llama-2-7b	Llama-3.1-8B-Carballo	N	0.0022	-0.0057	0.0319	0.0058
